service_id,date,exception_type
201012140,20260106,2
201012203,20260106,2
201012229,20260106,2
201012250,20260106,2
300010705,20260106,2
300010735,20260106,2
300010815,20260106,2
300010855,20260106,2
300010935,20260106,2
300011015,20260106,2
300011055,20260106,2
300011135,20260106,2
300011215,20260106,2
300011255,20260106,2
300011335,20260106,2
300011415,20260106,2
300011455,20260106,2
300011535,20260106,2
300011615,20260106,2
300011655,20260106,2
300011735,20260106,2
300011815,20260106,2
300011855,20260106,2
300011935,20260106,2
300012015,20260106,2
300012055,20260106,2
300012135,20260106,2
300012215,20260106,2
300040710,20260106,1
300040735,20260106,1
300040805,20260106,1
300040847,20260106,1
300040920,20260106,1
300041002,20260106,1
300041035,20260106,1
300041117,20260106,1
300041150,20260106,1
300041232,20260106,1
300041305,20260106,1
300041347,20260106,1
300041420,20260106,1
300041502,20260106,1
300041535,20260106,1
300041617,20260106,1
300041650,20260106,1
300041732,20260106,1
300041805,20260106,1
300041847,20260106,1
300041920,20260106,1
300042002,20260106,1
300042035,20260106,1
300042117,20260106,1
300042150,20260106,1
300042230,20260106,1
301010719,20260106,2
301010749,20260106,2
301010831,20260106,2
301010906,20260106,2
301010951,20260106,2
301011026,20260106,2
301011111,20260106,2
301011146,20260106,2
301011231,20260106,2
301011306,20260106,2
301011351,20260106,2
301011426,20260106,2
301011511,20260106,2
301011546,20260106,2
301011631,20260106,2
301011706,20260106,2
301011751,20260106,2
301011826,20260106,2
301011911,20260106,2
301011946,20260106,2
301012031,20260106,2
301012106,20260106,2
301012151,20260106,2
301012226,20260106,2
301040730,20260106,1
301040800,20260106,1
301040830,20260106,1
301040903,20260106,1
301040945,20260106,1
301041018,20260106,1
301041100,20260106,1
301041133,20260106,1
301041215,20260106,1
301041248,20260106,1
301041330,20260106,1
301041403,20260106,1
301041445,20260106,1
301041518,20260106,1
301041600,20260106,1
301041633,20260106,1
301041715,20260106,1
301041748,20260106,1
301041830,20260106,1
301041903,20260106,1
301041945,20260106,1
301042018,20260106,1
301042100,20260106,1
301042133,20260106,1
302010733,20260106,2
302010803,20260106,2
302010847,20260106,2
302010927,20260106,2
302011007,20260106,2
302011047,20260106,2
302011127,20260106,2
302011207,20260106,2
302011247,20260106,2
302011327,20260106,2
302011407,20260106,2
302011447,20260106,2
302011527,20260106,2
302011607,20260106,2
302011647,20260106,2
302011727,20260106,2
302011807,20260106,2
302011847,20260106,2
302011927,20260106,2
302012007,20260106,2
302012047,20260106,2
302012127,20260106,2
302040750,20260106,1
302040820,20260106,1
302040855,20260106,1
302040928,20260106,1
302041010,20260106,1
302041043,20260106,1
302041125,20260106,1
302041158,20260106,1
302041240,20260106,1
302041313,20260106,1
302041355,20260106,1
