service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
101011152,1,1,1,1,1,0,0,20260825,20261231
101011219,1,1,1,1,1,0,0,20260825,20261231
101011246,1,1,1,1,1,0,0,20260825,20261231
101011313,1,1,1,1,1,0,0,20260825,20261231
101011340,1,1,1,1,1,0,0,20260825,20261231
101011407,1,1,1,1,1,0,0,20260825,20261231
101011434,1,1,1,1,1,0,0,20260825,20261231
101011501,1,1,1,1,1,0,0,20260825,20261231
101011528,1,1,1,1,1,0,0,20260825,20261231
101011555,1,1,1,1,1,0,0,20260825,20261231
101011622,1,1,1,1,1,0,0,20260825,20261231
101011649,1,1,1,1,1,0,0,20260825,20261231
101011716,1,1,1,1,1,0,0,20260825,20261231
101011743,1,1,1,1,1,0,0,20260825,20261231
101011810,1,1,1,1,1,0,0,20260825,20261231
101011837,1,1,1,1,1,0,0,20260825,20261231
101011904,1,1,1,1,1,0,0,20260825,20261231
101011931,1,1,1,1,1,0,0,20260825,20261231
101011958,1,1,1,1,1,0,0,20260825,20261231
101012025,1,1,1,1,1,0,0,20260825,20261231
101012052,1,1,1,1,1,0,0,20260825,20261231
101012119,1,1,1,1,1,0,0,20260825,20261231
101012145,1,1,1,1,1,0,0,20260825,20261231
101012210,1,1,1,1,1,0,0,20260825,20261231
101012235,1,1,1,1,1,0,0,20260825,20261231
101020725,0,0,0,0,0,1,0,20260825,20261231
101020750,0,0,0,0,0,1,0,20260825,20261231
101020815,0,0,0,0,0,1,0,20260825,20261231
101020840,0,0,0,0,0,1,0,20260825,20261231
101020905,0,0,0,0,0,1,0,20260825,20261231
101020930,0,0,0,0,0,1,0,20260825,20261231
101020955,0,0,0,0,0,1,0,20260825,20261231
101021020,0,0,0,0,0,1,0,20260825,20261231
101021045,0,0,0,0,0,1,0,20260825,20261231
101021110,0,0,0,0,0,1,0,20260825,20261231
101021135,0,0,0,0,0,1,0,20260825,20261231
101021200,0,0,0,0,0,1,0,20260825,20261231
101021225,0,0,0,0,0,1,0,20260825,20261231
101021250,0,0,0,0,0,1,0,20260825,20261231
101021315,0,0,0,0,0,1,0,20260825,20261231
101021340,0,0,0,0,0,1,0,20260825,20261231
101021405,0,0,0,0,0,1,0,20260825,20261231
101021430,0,0,0,0,0,1,0,20260825,20261231
101021455,0,0,0,0,0,1,0,20260825,20261231
101021520,0,0,0,0,0,1,0,20260825,20261231
101021545,0,0,0,0,0,1,0,20260825,20261231
101021610,0,0,0,0,0,1,0,20260825,20261231
101021635,0,0,0,0,0,1,0,20260825,20261231
101021700,0,0,0,0,0,1,0,20260825,20261231
101021725,0,0,0,0,0,1,0,20260825,20261231
101021750,0,0,0,0,0,1,0,20260825,20261231
101021815,0,0,0,0,0,1,0,20260825,20261231
101021840,0,0,0,0,0,1,0,20260825,20261231
101021905,0,0,0,0,0,1,0,20260825,20261231
101021930,0,0,0,0,0,1,0,20260825,20261231
101021955,0,0,0,0,0,1,0,20260825,20261231
101022020,0,0,0,0,0,1,0,20260825,20261231
101022045,0,0,0,0,0,1,0,20260825,20261231
101022110,0,0,0,0,0,1,0,20260825,20261231
101022135,0,0,0,0,0,1,0,20260825,20261231
101022155,0,0,0,0,0,1,0,20260825,20261231
101022220,0,0,0,0,0,1,0,20260825,20261231
101022240,0,0,0,0,0,1,0,20260825,20261231
101022300,0,0,0,0,0,1,0,20260825,20261231
101030735,0,0,0,0,0,0,1,20260825,20261231
101030750,0,0,0,0,0,0,1,20260825,20261231
101030810,0,0,0,0,0,0,1,20260825,20261231
101030830,0,0,0,0,0,0,1,20260825,20261231
101030850,0,0,0,0,0,0,1,20260825,20261231
101030910,0,0,0,0,0,0,1,20260825,20261231
101030930,0,0,0,0,0,0,1,20260825,20261231
101030950,0,0,0,0,0,0,1,20260825,20261231
101031010,0,0,0,0,0,0,1,20260825,20261231
101031030,0,0,0,0,0,0,1,20260825,20261231
101031055,0,0,0,0,0,0,1,20260825,20261231
101031120,0,0,0,0,0,0,1,20260825,20261231
101031145,0,0,0,0,0,0,1,20260825,20261231
101031210,0,0,0,0,0,0,1,20260825,20261231
101031235,0,0,0,0,0,0,1,20260825,20261231
101031300,0,0,0,0,0,0,1,20260825,20261231
101031325,0,0,0,0,0,0,1,20260825,20261231
101031350,0,0,0,0,0,0,1,20260825,20261231
101031415,0,0,0,0,0,0,1,20260825,20261231
101031440,0,0,0,0,0,0,1,20260825,20261231
101031505,0,0,0,0,0,0,1,20260825,20261231
101031530,0,0,0,0,0,0,1,20260825,20261231
101031555,0,0,0,0,0,0,1,20260825,20261231
101031620,0,0,0,0,0,0,1,20260825,20261231
101031645,0,0,0,0,0,0,1,20260825,20261231
101031710,0,0,0,0,0,0,1,20260825,20261231
101031735,0,0,0,0,0,0,1,20260825,20261231
101031800,0,0,0,0,0,0,1,20260825,20261231
101031825,0,0,0,0,0,0,1,20260825,20261231
101031850,0,0,0,0,0,0,1,20260825,20261231
101031915,0,0,0,0,0,0,1,20260825,20261231
101031940,0,0,0,0,0,0,1,20260825,20261231
101032005,0,0,0,0,0,0,1,20260825,20261231
101032030,0,0,0,0,0,0,1,20260825,20261231
101032055,0,0,0,0,0,0,1,20260825,20261231
101032120,0,0,0,0,0,0,1,20260825,20261231
101032145,0,0,0,0,0,0,1,20260825,20261231
101032210,0,0,0,0,0,0,1,20260825,20261231
101032235,0,0,0,0,0,0,1,20260825,20261231
102010744,1,1,1,1,1,0,0,20260825,20261231
102010807,1,1,1,1,1,0,0,20260825,20261231
102010834,1,1,1,1,1,0,0,20260825,20261231
102010901,1,1,1,1,1,0,0,20260825,20261231
102010928,1,1,1,1,1,0,0,20260825,20261231
102010955,1,1,1,1,1,0,0,20260825,20261231
102011022,1,1,1,1,1,0,0,20260825,20261231
102011049,1,1,1,1,1,0,0,20260825,20261231
102011116,1,1,1,1,1,0,0,20260825,20261231
102011143,1,1,1,1,1,0,0,20260825,20261231
102011210,1,1,1,1,1,0,0,20260825,20261231
102011237,1,1,1,1,1,0,0,20260825,20261231
102011304,1,1,1,1,1,0,0,20260825,20261231
102011331,1,1,1,1,1,0,0,20260825,20261231
102011358,1,1,1,1,1,0,0,20260825,20261231
102011425,1,1,1,1,1,0,0,20260825,20261231
102011452,1,1,1,1,1,0,0,20260825,20261231
102011519,1,1,1,1,1,0,0,20260825,20261231
102011546,1,1,1,1,1,0,0,20260825,20261231
102011613,1,1,1,1,1,0,0,20260825,20261231
102011640,1,1,1,1,1,0,0,20260825,20261231
102011707,1,1,1,1,1,0,0,20260825,20261231
102011734,1,1,1,1,1,0,0,20260825,20261231
102011801,1,1,1,1,1,0,0,20260825,20261231
102011828,1,1,1,1,1,0,0,20260825,20261231
102011855,1,1,1,1,1,0,0,20260825,20261231
102011922,1,1,1,1,1,0,0,20260825,20261231
102011949,1,1,1,1,1,0,0,20260825,20261231
102012016,1,1,1,1,1,0,0,20260825,20261231
102012043,1,1,1,1,1,0,0,20260825,20261231
102012110,1,1,1,1,1,0,0,20260825,20261231
102012137,1,1,1,1,1,0,0,20260825,20261231
102012205,1,1,1,1,1,0,0,20260825,20261231
102012232,1,1,1,1,1,0,0,20260825,20261231
102012300,1,1,1,1,1,0,0,20260825,20261231
200010802,1,1,1,1,1,0,0,20260825,20261231
200010833,1,1,1,1,1,0,0,20260825,20261231
200010900,1,1,1,1,1,0,0,20260825,20261231
200010933,1,1,1,1,1,0,0,20260825,20261231
200011000,1,1,1,1,1,0,0,20260825,20261231
200011033,1,1,1,1,1,0,0,20260825,20261231
200011100,1,1,1,1,1,0,0,20260825,20261231
200011133,1,1,1,1,1,0,0,20260825,20261231
200011200,1,1,1,1,1,0,0,20260825,20261231
200011233,1,1,1,1,1,0,0,20260825,20261231
200011300,1,1,1,1,1,0,0,20260825,20261231
200011333,1,1,1,1,1,0,0,20260825,20261231
200011400,1,1,1,1,1,0,0,20260825,20261231
200011433,1,1,1,1,1,0,0,20260825,20261231
200011500,1,1,1,1,1,0,0,20260825,20261231
200011533,1,1,1,1,1,0,0,20260825,20261231
200011600,1,1,1,1,1,0,0,20260825,20261231
200011633,1,1,1,1,1,0,0,20260825,20261231
200011700,1,1,1,1,1,0,0,20260825,20261231
200011733,1,1,1,1,1,0,0,20260825,20261231
200011800,1,1,1,1,1,0,0,20260825,20261231
200011833,1,1,1,1,1,0,0,20260825,20261231
200011900,1,1,1,1,1,0,0,20260825,20261231
200011933,1,1,1,1,1,0,0,20260825,20261231
200011958,1,1,1,1,1,0,0,20260825,20261231
200012025,1,1,1,1,1,0,0,20260825,20261231
200012050,1,1,1,1,1,0,0,20260825,20261231
200012115,1,1,1,1,1,0,0,20260825,20261231
200012140,1,1,1,1,1,0,0,20260825,20261231
200012202,1,1,1,1,1,0,0,20260825,20261231
200012228,1,1,1,1,1,0,0,20260825,20261231
200012252,1,1,1,1,1,0,0,20260825,20261231
200012315,1,1,1,1,1,0,0,20260825,20261231
